"","cat","SiteIDX","SiteName","Descriptio","Elevation","UAA","x","y","meanLakeElev","LF"
"1",1,1,"NSV_1","nsv just above ouzel junction",2796.997,249222,449220.84375,4450160.5,3299.44180847803,0.451952797104589
"2",2,2,"NSV_2","ouzel just above nsv",2797.462,161054,449211.71875,4450123.5,3055.135,0.64190830404709
"3",3,3,"NSV_3","nsv @ copeland falls",2618.454,760298,451223.1875,4450498.5,3203.15085202926,0.383125808564537
"4",4,4,"NSV_4","hunters just above nsv",2594.064,139107,451835.78125,4451056.5,3446.01483346535,0.222798924568857
"5",5,5,"NSV_5","nsv below hunters",2583.974,919272,451972.90625,4451029,3226.50630121143,0.350584675699902
"6",6,6,"NSV_6","nsv lowest",2548.733,984192,453124.9375,4451440.5,3226.50630121143,0.327459150247106
"7",7,7,"GC_1","unnamed draining bear lake",2803.558,9366,445490.46875,4462394,2889.133,0.525038757206919
"8",8,8,"GC_2","Chaos near glacier gorge parking area",2786.667,88295,445508.75,4462229,3062.82602817222,0.535239481284331
"9",9,9,"GC_3","Glacier lowest",2725.725,371481,446020.78125,4462704.5,3055.41845606144,0.753197910525707
"10",10,10,"NSV_7","nsv high below thunder lake",3220.407,53170,445298.46875,4452455,3224.664,0.987364115102501
"11",11,11,"NSV_8","cony",3016.849,157047,449248.28125,4448249.5,3286.93558907687,0.414371939610435
"12",12,12,"NSV_9","hunters high",3130.069,108928,449166,4452930.5,3446.01483346535,0.284526384400705
"13",13,13,"NSV_10","ouzel high",3051.033,122766,446487.0625,4450123.5,3055.135,0.842105306029357
"14",14,14,"GC_4","icy brook",2993.461,87298,444978.46875,4460775.5,3105.88,0.948668125272057
"15",15,15,"GC_5","glacier highest",3129.25,75121,445810.46875,4458206,3237.40599923231,0.790069108504945
"16",16,16,"GC_6","shelf creek",3132.219,20920,445746.46875,4458297.5,3478.184,0.809504302103251
"17",17,17,"GC_7","glacier below mills lake",3030.269,145895,445280.1875,4460391.5,3029.788,0.992531615202714
"18",18,18,"GC_8","icy brook oops",2982.059,87363,445097.3125,4460839.5,3105.88,0.94796229525085
"19",19,19,"GC_9","unnamed draining glacier knobs",2833.09,51916,445472.1875,4461964,NA,0
